Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12
423.20786679990124,3.5998,3.6032,3.6044,3.6038,3.6014,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
423.22394689999055,3.6,3.6032,3.6044,3.6037,3.6015,3.603,0.0,0.0,0.0,0.0,0.0,0.0
423.239802600001,3.5999,3.6033,3.6046,3.6038,3.6014,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
423.2559827999212,3.6,3.6033,3.6045,3.6037,3.6015,3.6028,0.0,0.0,0.0,0.0001,0.0,0.0
423.27197029988747,3.5999,3.6032,3.6045,3.6036,3.6014,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
423.2891067999881,3.5997,3.6032,3.6045,3.6038,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
423.30562519992236,3.5998,3.6032,3.6046,3.6039,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
423.322128699976,3.5999,3.6033,3.6045,3.6037,3.6014,3.6027,0.0,0.0,0.0,0.0,0.0,0.0
423.3394597999286,3.5998,3.6032,3.6046,3.6038,3.6016,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
423.36814279993996,3.5998,3.6034,3.6046,3.6038,3.6015,3.6027,0.0,0.0,0.0,0.0,0.0,0.0
423.38397199998144,3.6,3.6033,3.6046,3.6039,3.6014,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
423.4000303999055,3.5998,3.6033,3.6044,3.6038,3.6015,3.6027,0.0,0.0,0.0,0.0,0.0,0.0
423.41601499996614,3.5998,3.6033,3.6044,3.6037,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
423.4321124999551,3.5998,3.6032,3.6047,3.6037,3.6016,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
423.44801369996276,3.5998,3.6033,3.6044,3.6037,3.6015,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
423.46412879996933,3.5999,3.6033,3.6044,3.6037,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
423.4800935999956,3.5999,3.6032,3.6045,3.6038,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
423.49835309991613,3.6,3.6032,3.6046,3.6039,3.6014,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
423.514395999955,3.5997,3.6032,3.6045,3.6038,3.6015,3.603,0.0,0.0,0.0,0.0001,0.0,0.0
423.53068169998005,3.5998,3.6031,3.6044,3.6039,3.6014,3.6029,0.0,0.0001,0.0,0.0,0.0,0.0
423.54897699994035,3.5998,3.6031,3.6046,3.6039,3.6012,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
423.576329399948,3.5999,3.6033,3.6046,3.6037,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
423.5921633999096,3.5998,3.6032,3.6045,3.604,3.6014,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
423.60849229991436,3.5999,3.6032,3.6044,3.6036,3.6015,3.603,0.0,0.0,0.0,0.0,0.0,0.0
423.62421439995524,3.5998,3.6032,3.6045,3.6037,3.6015,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
423.64012139989063,3.5998,3.6031,3.6043,3.6038,3.6014,3.6027,0.0,0.0,0.0,0.0,0.0,0.0
423.65612359996885,3.5999,3.6034,3.6047,3.6039,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
423.67218949995004,3.5998,3.6033,3.6045,3.6038,3.6017,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
423.6881063999608,3.5998,3.6033,3.6044,3.6039,3.6013,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
423.7051313999109,3.5998,3.6033,3.6045,3.6039,3.6014,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
423.7211829998996,3.5999,3.6033,3.6045,3.6038,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
423.7375148999272,3.5999,3.6033,3.6046,3.604,3.6015,3.6029,0.0,0.0,0.0,0.0,0.0,0.0
423.75505719997454,3.5998,3.6032,3.6044,3.6038,3.6015,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
423.78422599995974,3.5998,3.6033,3.6045,3.6039,3.6015,3.6027,0.0,0.0,0.0,0.0,0.0,0.0
423.80054689990357,3.6,3.6032,3.6045,3.6038,3.6018,3.603,0.0,0.0,0.0,0.0,0.0,0.0
423.81614319991786,3.5998,3.6033,3.6045,3.604,3.6014,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
423.83215109992307,3.5999,3.6033,3.6044,3.6038,3.6013,3.6028,0.0,0.0,0.0,0.0,0.0,0.0
423.84820589993615,3.5997,3.6032,3.6045,3.6039,3.6015,3.603,0.0,0.0,0.0,0.0,0.0,0.0
