2ndRef_1,Temp_1,SC_1
855.0638431999832,65535,23514,10817
855.079522099928,65535,23515,10815
855.0973406999838,65535,23513,10816
855.1153520999942,65535,23514,10815
855.131899699918,65535,23516,10815
855.1458240998909,65535,23513,10826
855.1626148999203,65535,23514,10815
855.179668399971,65535,23513,10815
855.195576799917,65535,23515,10816
855.2109722999157,65535,23513,10815
855.2257660999894,65535,23513,10816
855.2557302999776,65535,23515,10816
855.2716552999336,65535,23515,10826
855.2875937999925,65535,23515,10815
855.3072527999757,65535,23513,10816
855.3235132999253,65535,23515,10817
855.3396595999366,65535,23515,10814
855.3555503999814,65535,23516,10817
855.3697868998861,65535,23517,10817
860.378117699991,65535,23533,10818
865.3891811999492,65535,23528,10815
870.39899529994,65535,23521,10816
875.4095658999868,65535,23525,10815
880.4046136999968,65535,23533,10826
885.4137913999148,65535,23533,10816
890.4243597999448,65535,23538,10817
895.4351637999061,65535,23540,10815
900.4450852998998,65535,23544,10814
905.4564580998849,65535,23540,10817
910.465979999979,65535,23542,10816
915.4772320999764,65535,23544,10815
920.4874264999526,65535,23551,10816
925.4979223998962,65535,23554,10815
930.5077027999796,65535,23555,10816
935.5188349999953,65535,23556,10818
940.5288914999692,65535,23557,10817
945.5394793999149,65535,23560,10815
950.5494320999132,65535,23558,10816
955.5447344999993,65535,23562,10816
960.555070299888,65535,23563,10815
965.5648912999313,65535,23571,10816
970.5751905998914,65535,23570,10816
975.5863603999605,65535,23568,10817
980.5962501999456,65535,23573,10817
985.6066369999899,65535,23573,10818
990.6169359999476,65535,23575,10816
995.6274857999524,65535,23576,10816
1000.6383148999885,65535,23580,10816
1005.6481494999025,65535,23582,10816
1010.6583194999257,65535,23583,10816
1015.669435299933,65535,23585,10815
1020.678964599967,65535,23587,10818
1025.6743399999104,65535,23587,10817
1030.6848315999378,65535,23590,10815
1035.6944495999487,65535,23588,10815
1040.7055331999436,65535,23595,10815
1045.7159330999712,65535,23597,10819
1050.7262228999753,65535,23597,10815
1055.7366345999762,65535,23594,10815
1060.7461179998936,65535,23601,10816
1065.7569113998907,65535,23596,10816
1070.7674795999192,65535,23599,10816
1075.7784772999585,65535,23597,10816
1080.788679499994,65535,23598,10817
1085.7983259999892,65535,23596,10815
1090.8093886999413,65535,23603,10815
1095.8192464999156,65535,23602,10816
1100.814523799927,65535,23605,10815
1105.8250235999003,65535,23608,10816
1110.834429499926,65535,23609,10818
1115.8459543999052,65535,23607,10816
1120.8553010999458,65535,23608,10815
1125.8663842999376,65535,23609,10815
1130.8769846999785,65535,23616,10817
1135.8874840999488,65535,23619,10817
1140.8975854999153,65535,23615,10817
1145.9072294998914,65535,23617,10817
1150.9188084999332,65535,23620,10815
1155.9286194999004,65535,23618,10815
1160.9398715998977,65535,23621,10817
1165.950073899934,65535,23617,10815
1170.9444062999683,65535,23616,10817
1175.9547549999552,65535,23618,10815
1180.9652780999895,65535,23619,10817
1185.975723899901,65535,23618,10817
1190.9848021999933,65535,23618,10817
1195.9964421999175,65535,23623,10817
1201.0067945999326,65535,23622,10815
1206.0171160999453,65535,23629,10817
1211.0275422999403,65535,23630,10816
1216.0373689999105,65535,23637,10816
1221.0484419999411,65535,23639,10816
1226.0578928999603,65535,23650,10817
1231.0682850999292,65535,23653,10818
1236.0796885999152,65535,23659,10817
1241.089729399886,65535,23658,10816
1246.0839854999213,65535,23664,10818
1251.0940150999231,65535,23669,10817
1256.1043493999168,65535,23675,10820
1261.1150011999998,65535,23676,10816
1266.1261238999432,65535,23684,10819
1271.1365375999594,65535,23685,10816
1276.1471049999818,65535,23686,10816
1281.1567899999209,65535,23690,10819
1281.1781063999515,65535,23689,10816
1281.1930593999568,65535,23691,10819
1281.2075606998987,65535,23688,10817
1281.2226965998998,65535,23689,10818
1281.2412811999675,65535,23689,10816
1281.2547740999144,65535,23687,10816
1281.2844768998912,65535,23686,10818
1281.300611399929,65535,23686,10816
1281.3165421999292,65535,23688,10817
1281.336748499889,65535,23688,10814
1281.3522128999466,65535,23684,10817
1281.3671171999304,65535,23687,10818
1281.3822358999169,65535,23686,10817
1281.4009517999366,65535,23687,10818
1281.415683799889,65535,23686,10816
1281.4323668999132,65535,23684,10817
1281.448379599955,65535,23686,10816
1281.4640161999268,65535,23691,10816
1281.4926853999496,65535,23685,10816
1281.508764399914,65535,23683,10818
1281.5260550999083,65535,23686,10815
1281.5450724998955,65535,23688,10815
1281.5598022999475,65535,23687,10817
1281.5768053999636,65535,23686,10816
1281.592516799923,65535,23684,10816
1281.6086115998914,65535,23684,10816
1281.6248464999953,65535,23687,10817
1281.6401862999192,65535,23686,10816
1281.6571421999251,65535,23690,10814
1281.6730327999685,65535,23685,10815
1281.7014374999562,65535,23685,10818
1281.7166147999233,65535,23684,10815
1281.733603199944,65535,23685,10818
1281.7514418999199,65535,23687,10816
1281.7662091999082,65535,23687,10817
1281.799673799891,65535,23685,10818
1281.81934799999,65535,23685,10816
1281.8327810999472,65535,23686,10816
1281.8354428999592,65535,23685,10816
1281.8473793999292,65535,23686,10815
1281.8632879999932,65535,23684,10817
1281.8791996999644,65535,23681,10815
1281.908979699947,65535,23686,10816
1281.9250313999364,65535,23684,10817
1281.942611599923,65535,23684,10816
1281.9609885999234,65535,23688,10818
1281.977374699898,65535,23684,10817
1281.993614399922,65535,23685,10816
1282.0098015998956,65535,23684,10816
1282.025305799907,65535,23685,10816
1282.041195299942,65535,23685,10817
1282.0562813999131,65535,23685,10816
1282.0729719999945,65535,23686,10816
1282.0885740999365,65535,23683,10817
1282.117021599901,65535,23684,10817
1282.1329254999291,65535,23683,10816
1282.1499271999346,65535,23683,10816
1282.1673397999257,65535,23683,10818
1282.1840179999126,65535,23680,10816
1282.200345399906,65535,23684,10816
1282.2169187999098,65535,23686,10816
1282.2329694998916,65535,23684,10816
1282.2476550999563,65535,23683,10816
1282.2630818999605,65535,23684,10815
1282.2800380999688,65535,23683,10818
1282.2953338999068,65535,23682,10814
1282.3251575999893,65535,23685,10818
1282.3415462999837,65535,23683,10816
1282.358431499917,65535,23686,10817
1282.3757676999085,65535,23685,10817
1282.3925959999906,65535,23685,10817
1282.4090940998867,65535,23683,10816
1282.4248514999636,65535,23685,10816
1282.4401758998865,65535,23684,10816
1282.4575362999458,65535,23684,10816
1282.4722534999019,65535,23685,10816
